wavelength,ew,id
3925.651,74.0,Fe I
3925.949,86.0,Fe I
3926.458,34.0,Mn I
3927.0,187.0,Fe I
3928.217,68.0,CH
3928.345,46.0,CH
3929.223,37.0,Fe I
3929.724,20.0,V I
3929.885,37.0,T I
3930.308,108.0,Fe I
3931.342,3.0,V I
3932.018,10.0,T I
3932.637,10.0,Fe I
3932.915,1.5,Fe I
3933.682,20253.0,Ca II K
3934.366,6.0,Fe I
3935.645,11.0,CH
3935.826,35.0,Fe I
3936.557,7.0,Fe I
3937.336,38.0,Fe I
3938.018,3.5,Fe I
3938.409,71.0,Mg I
3938.865,6.5,Co I
3939.518,3.5,Sc I
3940.041,28.0,Fe I
3940.358,9.5,Ce I
3940.89,84.0,Co I
3941.284,60.0,Fe I
3941.856,25.0,Ni I
3942.448,72.0,Fe I
3943.182,22.0,Fe I
3943.348,52.0,Fe I
3944.016,488.0,Al I
3944.744,73.0,Fe I
3945.127,79.0,Fe I
3945.332,68.0,Co I
3945.961,10.0,Cr I
3947.002,83.0,Fe I
3947.538,86.0,Fe I
3948.109,99.0,Fe I
3948.68,94.0,Ti I
3949.061,89.0,Ca I
3949.605,6.5,Cr I
3949.959,103.0,Fe I
3950.358,55.0,Y II
3951.081,126.0,Cr I
3951.626,22.0,Fe I
3951.964,63.0,V I
3952.545,133.0,Ce I
3952.982,159.0,CH
3953.502,40.0,Fe I
3953.861,51.0,Fe I
3954.54,37.0,N I
3955.219,38.0,Fe I
3955.343,107.0,Fe I
3955.963,64.0,Fe I
3956.686,133.0,Fe I
3957.041,123.0,Fe I
3957.629,35.0,Fe I
3958.216,86.0,Ti I
3958.74,31.0,Fe I
3958.87,3.5,Rh I
3959.453,4.5,Fe I
3960.284,50.0,Fe I
3961.149,44.0,Fe I
3961.535,621.0,Al I
3962.179,41.0,CH
3962.722,22.0,Fe I
3963.115,81.0,Fe I
3963.691,56.0,Cr I
3964.19,15.0,N I
3964.526,53.0,Fe I
3965.23,3.5,Co I
3965.516,39.0,Fe I
3966.073,66.0,Fe I
3966.639,44.0,Fe I
3966.824,11.0,Fe I
3967.431,19.0,Fe I
3967.975,7.0,Fe I
3968.492,15467.0,Ca II H
3969.06,5.0,Cr I
3969.268,52.0,Fe I
3970.075,50.0,H$\epsilon$
3970.399,29.0,Fe I
3971.007,16.0,Fe I
3971.332,56.0,Fe I
3972.173,51.0,N I
3972.44,44.0,CH
3972.916,17.0,Fe I
3973.715,101.0,Ca I
3973.916,30.0,Fe I
3974.398,61.0,Fe I
3974.763,89.0,Fe I
3975.691,1.5,T I
3975.845,43.0,Fe I
3976.632,162.0,Fe I
3976.868,64.0,Fe I
3977.747,104.0,Fe I
3978.667,68.0,Co I
3978.855,10.0,Co I
3979.522,67.0,Co I
3980.012,21.0,Fe I
3980.522,3.5,V I
3981.105,32.0,Fe I
3981.616,21.0,Fe I
3981.775,101.0,Fe I
3982.598,62.0,Mn I
3983.198,57.0,CH
3983.54,35.0,Fe I
3983.921,155.0,Cr I
3984.665,55.0,Ce I
3984.941,37.0,Fe I
3985.392,99.0,Fe I
3986.18,82.0,Fe I
3986.37,9.0,N I
3986.76,267.0,Mg I
3987.612,52.0,T I
