wavelength,ew,id
3861.837,51,CN
3862.494,84,CN
3863.068,41,Ni I
3863.701,157,Fe I
3864.111,46,Mo I
3864.492,68,CN
3864.874,78,V I
3865.533,377,Fe I
3866.104,39,CN
3866.393,67,CN
3867.224,110,Fe I
3867.627,87,CN
3867.863,100,CN
3868.741,80,CN
3869.173,88,CN
3869.612,154,Fe I
3870.072,95,CN
3870.664,53,CN
3870.887,85,CN
3871.392,764,CN
3871.758,132,Fe I
3872.510,612,Fe I
3873.133,135,Co I
3873.502,97,CN
3874.060,116,Fe I
3874.726,87,CN
3875.085,74,V I
3875.546,45,Sm II
3876.051,141,Fe I
3876.486,64,CN
3876.845,91,CN
3877.451,76,CN
3878.027,555,Fe I
3878.580,724,Fe I
3878.838,26,CN
3879.257,122,CN
3880.038,100,CN
3880.394,139,CN
3881.040,121,CN
3881.307,147,CN
3882.085,136,CN
3882.300,141,Ti I
3882.847,140,CN
3883.287,228,Cr I
3884.097,5.5,Ti I
3884.369,136,Fe I
3885.151,28,Fe I
3885.519,87,Fe I
3885.865,6.5,Ni I
3886.428,11,CH
3887.059,219,Fe I
3887.372,8,Ti I
3888.041,9,Ti I
3888.524,265,Fe I
3889.050,2346,H 8
3889.676,42,Ni I
3889.929,55,Fe I
3890.568,38,CH
3890.849,64,Fe I
3891.934,88,Fe I
3892.591,49,CH
3892.898,78,Fe I
3893.402,182,Fe I
3893.920,70,Fe I
3894.493,33,Fe I
3894.986,78,Co I
3895.448,87,Fe I
3895.794,361,Fe I
3896.622,27,Fe I
3896.781,21,Ni I
3897.458,83,Fe I
3898.014,158,Fe I
3898.394,74,CH
3899.036,85,Fe I
3899.719,436,Fe I
3900.224,16,Nd II
3900.660,20,Al II
3900.963,37,Ti I
3901.598,62,CH
3901.866,71,CH
3902.262,61,V I
3903.161,18,Cr I
3903.257,40,V II
3903.854,224,Mg I
3904.630,20,Ni I
3904.790,60,Ti I
3905.532,816,Si I
3905.905,61,CH
3906.490,164,Fe I
3906.752,77,Fe I
3907.478,73,Sc I
3907.940,82,Fe I
3908.685,98,Fe I
3908.928,63,Ni I
3909.668,89,Fe I
3909.837,115,Fe I
3910.534,114,CH
3910.849,86,Fe I
3911.701,34,Fe I
3911.825,60,Sc I
3912.294,63,Ni I
3912.981,51,Ni I
3913.470,138,Ti II
3914.013,53,CH
3914.338,133,Ti I
3915.218,46,Fe I
3915.612,78,CH
3915.811,110,CH
3916.737,90,Fe I
3917.124,151,Co I
3917.591,23,Cr I
3918.113,4.5,Hf II
3918.324,190,Fe I
3919.168,2.5,Cr I
3919.817,8,Ce II
3920.269,341,Fe I
3921.049,125,Cr I
3921.556,79,CH
3922.084,24,Fe I
3922.421,34,Sm II
3922.923,414,Fe I
3923.502,11,Sc II
3924.067,20,Mn I
3924.533,68,Ti I
3925.209,70,Fe I
3925.651,74,Fe I
3925.949,86,Fe I
3926.458,34,Mn I
3927.000,187,Fe I
3928.217,68,CH
3928.345,46,CH
3929.223,37,Fe I
3929.724,20,V II
3929.885,37,Ti I
3930.308,108,Fe I
3931.342,3,V I
3932.018,10,Ti II
3932.637,10,Fe I
3932.915,1.5,Fe I
3933.682,20253,Ca II K
3934.366,6,Fe I
3935.645,11,CH
3935.826,35,Fe I
3936.557,7,Fe I
3937.336,38,Fe I
3938.018,3.5,Fe I
3938.409,71,Mg I
3938.865,6.5,Co I
3939.518,3.5,Sc II
3940.041,28,Fe I
3940.358,9.5,Ce II
3940.890,84,Co I
3941.284,60,Fe I
3941.856,25,Ni I
3942.448,72,Fe I
3943.182,22,Fe I
3943.348,52,Fe I
3944.016,488,Al I
3944.744,73,Fe I
3945.127,79,Fe I
3945.332,68,Co I
3945.961,10,Cr I
3947.002,83,Fe I
3947.538,86,Fe I
3948.109,99,Fe I
3948.680,94,Ti I
3949.061,89,La II
3949.605,6.5,Cr I
3949.959,103,Fe I
3950.358,55,Y II
3951.081,126,Cr I
3951.626,22,Fe I
3951.964,63,V II
3952.545,133,Ce II
3952.982,159,CH
3953.502,40,Fe I
3953.861,51,Fe I
3954.540,37,Ni I
3955.219,38,Fe I
3955.343,107,Fe I
3955.963,64,Fe I
3956.686,133,Fe I
3957.041,123,Fe I
3957.629,35,Fe I
3958.216,86,Ti I
3958.740,31,Fe I
3958.870,3.5,Rh I
3959.453,4.5,Fe I
3960.284,50,Fe I
3961.149,44,Fe I
3961.535,621,Al I
3962.179,41,CH
3962.722,22,Fe I
3963.115,81,Fe I
3963.691,56,Cr I
3964.190,15,Ni I
3964.526,53,Fe I
3965.230,3.5,Co I
3965.516,39,Fe I
3966.073,66,Fe I
3966.639,44,Fe I
3966.824,11,Fe I
3967.431,19,Fe I
3967.975,7,Fe I
3968.492,15467,Ca II H
3969.060,5,Cr I
3969.268,52,Fe I
3970.075,50,H$\epsilon$
3970.399,29,Fe I
3971.007,16,Fe I
3971.332,56,Fe I
3972.173,51,Ni I
3972.440,44,CH
3972.916,17,Fe I
3973.715,101,Ca I
3973.916,30,Fe I
3974.398,61,Fe I
3974.763,89,Fe I
3975.691,1.5,Ti I
3975.845,43,Fe I
3976.632,162,Fe I
3976.868,64,Fe I
3977.747,104,Fe I
3978.667,68,Co I
3978.855,10,Co I
3979.522,67,Co I
3980.012,21,Fe I
3980.522,3.5,V I
3981.105,32,Fe I
3981.616,21,Fe II
3981.775,101,Fe I
3982.598,62,Mn I
3983.198,57,CH
3983.540,35,Fe I
3983.921,155,Cr I
3984.665,55,Ce II
3984.941,37,Fe I
3985.392,99,Fe I
3986.180,82,Fe I
3986.370,9,Ni I
3986.760,267,Mg I
3987.612,52,Ti II
3987.966,18,Yb I
3988.516,44,La II
3988.992,69,Fe I
3989.607,17,Fe I
3989.768,105,Ti I
3990.379,74,Fe I
3991.121,74,Cr I
3991.834,8,Co I
3992.643,13,Fe I
3992.828,65,V I
3993.612,19,Fe I
3994.119,80,Fe I
3994.684,62,Ti I
3994.810,15,Pr II
3995.751,38,La II
3996.264,47,Fe I
3996.971,70,Fe I
3997.482,170,Fe I
3998.058,115,Fe I
3998.643,110,Ti I
3999.243,16,Ce II
3999.344,12,Ti I
4000.023,8,Fe I
4000.465,78,Fe I
4000.973,5.5,Cr I
4001.449,68,Cr I
4002.077,38,Fe II
4002.503,34,Ti I
4002.929,61,V II
4003.275,10,Mn I
4003.769,70,Fe I
4004.838,83,Fe I
4005.254,416,Fe I
4006.156,54,Ni I
4006.633,93,Fe I
4006.825,102,CH
4007.279,86,Fe I
4008.060,28,Ti I
4008.602,14,Sc II
4008.930,106,Ti I
4009.660,122,Ti I
4010.179,36,Fe I
4010.588,68,Fe I
4010.780,56,Fe I
4011.718,50,Fe I
4012.158,33,Fe I
4012.253,39,Nd II
4013.232,7,Ti I
4013.582,83,Ti I
4013.816,102,Fe I
4014.272,50,Fe I
4014.934,34,Ce II
4015.380,23,Ti I
4016.092,5,Ca I
